state_ut,serial_no,address_raw,host_organization,year_of_sanction,type
Haryana,8,"Vill. Ujha, PO. Risalu, Distt. PanipAt.132 104","Vice-Chancellor, CCS Haryana Agricultural University, Hissar-125 004",1994,SAU
Haryana,9,"New Peoda P.Box No.40, Distt. Kaithal-136027","Vice-Chancellor, CCS Haryana Agricultural University, Hissar-125 004",1993,SAU
Haryana,10,"Vill. Pandu Pindara, Distt. Jind-126 102","Vice-Chancellor, CCS Haryana Agricultural University, Hissar-125 004",1992,SAU
Haryana,11,"430/13, Urban Estate, Near Railway Station, Distt. Kurukshetra-136 118","Vice-Chancellor, CCS Haryana Agricultural University, Hissar-125 004",1992,SAU
Haryana,12,"Vill. Bhopani, PO. Bhaskola, Jasana Road, Distt. Faridabad-121002","Vice-Chancellor, CCS Haryana Agricultural University, Hissar-125 004",1992,SAU
Haryana,13,"Damla, Distt. Yamunanagar-135 001","Vice-Chancellor, CCS Haryana Agricultural University, Hissar-125 004",1992,SAU
Haryana,14,"Jagdishpur, Rathdhana, Narela Road, PB No. 28, Distt. SonipAt.131 001","Vice-Chancellor, CCS Haryana Agricultural University, Hissar-125 004",1992,SAU
Haryana,15,"Mandi Adampur, Vill.Sadalpur, Distt. Hisar-125 052","Vice-Chancellor, CCS Haryana Agricultural University, Hissar-125 004",1989,SAU
Haryana,16,"IARI, Shikohpur, Distt. Gurgaon-122 001","Director, IARI, Pusa, New Delhi-110012",1983,ICAR
Haryana,17,"Shri B.B. Ashram, Rampura, Distt. Rewari-123 401","Secretary, Bhagwat Bhakti Ashram, Rampura, Rewari-123401",1983,NGO
Haryana,18,"NDRI, Distt. Karnal-132001","Director, NDRI, Karnal-132001",1976,ICAR
Rajasthan,1,"Agricultural Research Station, Rajasthan Agricultural University Distt. Srigangangnagar-335 001","Vice-Chancellor, Rajasthan Agricultural University, Bikaner-334 001",2004,SAU
Rajasthan,2,"Near PNB Bank, Station road, Hindon City, Distt. Karauli-322 230","Vice-Chancellor, Rajasthan Agricultural University, Bikaner-334 001",2004,SAU
Rajasthan,3,"Khedla Khurd, Lalsot Road, Distt. Dausa-303 303","Vice-Chancellor, Rajasthan Agricultural University, Bikaner-334 001",1994,SAU
Rajasthan,4,"Station Road, Anta, Distt. Baran-325 502","Vice-Chancellor, Maharana Pratap University of Agriculture and Technology, Udaipur-313 001",1994,SAU
Rajasthan,5,"Dhoinda, Distt. Rajsamand-313342","Vice-Chancellor, Maharana Pratap University of Agriculture and Technology, Udaipur-313 001",1994,SAU
Rajasthan,6,"Karmoda, Distt. Sawai Madhopur-322001","Vice-Chancellor, Rajasthan Agricultural University, Bikaner-334 001",1992,SAU
Rajasthan,7,"Tabiji Farm, NH No.8, Distt. Ajmer-305001","Vice-Chancellor, Rajasthan Agricultural University, Bikaner-334 001",1992,SAU
Rajasthan,8,"RIICO Industrial Area, Distt. Dhoulpur-328 001","Vice-Chancellor, Rajasthan Agricultural University, Bikaner-334 001",1992,SAU
Rajasthan,9,"Navgaon, Distt. Alwar-301 025","Vice-Chancellor, Rajasthan Agricultural University, Bikaner-334 001",1992,SAU
Rajasthan,10,"P.Box No.42, CAZRI Area, Distt. Jaisalmer-345001","Vice-Chancellor, Rajasthan Agricultural University, Bikaner-334 001",1992,SAU
Rajasthan,11,"PO. No. 36, Athiyasan, Distt. Nagaur-341 001","Vice-Chancellor, Rajasthan Agricultural University, Bikaner-334 001",1992,SAU
Rajasthan,12,"Badal Mahal, Shastri Colony, Distt. Dungarpur-314 001","Vice-Chancellor, Maharana Pratap University of Agriculture and Technology, Udaipur-313 001",1992,SAU
Rajasthan,13,"Rithola, Distt. Chittorgarh-312001","Vice-Chancellor, Maharana Pratap University of Agriculture and Technology, Udaipur-313 001",1992,SAU
Rajasthan,14,"PO. Borkhera Baran Road, Distt. Kota-324001","Vice-Chancellor, Maharana Pratap University of Agriculture and Technology, Udaipur-313 001",1992,SAU
Rajasthan,15,"P.Box. No.4 Nainwa Road, Distt. Bundi-323 001","Vice-Chancellor, Maharana Pratap University of Agriculture and Technology, Udaipur-313 001",1992,SAU
Rajasthan,16,"P.B. No.16, Kota Road, Distt. Jhalawar-326001","Vice-Chancellor, Maharana Pratap University of Agriculture and Technology, Udaipur-313 001",1992,SAU
Rajasthan,17,P.Box No.56 Distt. Bhilwara-311001,"Vice-Chancellor, Maharana Pratap University of Agriculture and Technology, Udaipur-313 001",1992,SAU
Rajasthan,18,"CAZRI (ICAR), Jodhpur Road, Distt. Pali-306 401","Director, CAZRI (ICAR), Jodhpur-342003",1992,ICAR
Rajasthan,19,"Banasthali Vidyapeeth, PO. & Distt. Tonk-304022	The","Secretary, Banasthali Vidyapith, Banasthali, Tonk-304 022",1992,OEI
Rajasthan,20,"V.P. Tankadra, Chomu, Distt. Jaipur-303 702	The","Secretary, Pragati Trust, Chomu, Jaipur-303 702",1992,NGO
Rajasthan,21,"Sardar Shahar, Distt. Churu-331 401	The","Registrar, Gandhi Vidya Mandir, Sardar Shahar,Churu-331 401",1992,OEI
Rajasthan,22,"P.Box No.29, Danta, Distt. Barmer-334 001 http://barmer1.kvk2.in/index.html The","Secretary, Society for Upliftment of Rural Economy, Barmer-334 001",1992,NGO
Rajasthan,23,"Abusar, P.Box No.4, Distt. Jhunjhunu-333 001","Vice-Chancellor, Rajasthan Agricultural University, Bikaner-334 001",1989,SAU
Rajasthan,24,"P.Box No.15, Distt. Sirohi-307 004","Vice-Chancellor, Maharana Pratap University of Agriculture and Technology, Udaipur-313 001",1989,SAU
Rajasthan,25,"Sangaria, Distt. Hanumangarh-335 063","President, Gramothan Vidya Peeth Sangaria, Hanumangarh-335 065",1989,NGO
Rajasthan,26,"Kumher, Distt. Bharatpur-321001","Vice-Chancellor, Rajasthan Agricultural University, Bikaner-334 001",1988,SAU
Rajasthan,27,"Keshwana, Distt. Jalore-343 001","Vice-Chancellor, Rajasthan Agricultural University, Bikaner-334 001",1985,SAU
Rajasthan,28,"Beechwal, Distt. Bikaner-334 006","Vice-Chancellor, Rajasthan Agricultural University, Bikaner-334 001",1983,SAU
Rajasthan,29,"Borwat Farm, Dahod Road, Distt. Banswara-327001","Vice-Chancellor, Maharana Pratap University of Agriculture and Technology, Udaipur-313 001",1983,SAU
Rajasthan,30,"CAZRI (ICAR) Campus, Distt. Jodhpur-342003","Director, CAZRI (ICAR), Jodhpur-342003",1983,ICAR
Rajasthan,31,"Badgaon, Distt. Udaipur-313001	The","President, Vidya Bhawan Society, Badgaon, Udaipur-313001",1983,NGO
Rajasthan,32,"Fatehpur Shekhawati, Distt. Sikar-332 301","Vice-Chancellor, Rajasthan Agricultural University, Bikaner-334 001",1976,SAU
Rajasthan,33,"Vill. -Gunta, Tehsil -Bansur, Alwar District","The Director, Directorate of Rapeseed-Mustard Research, Sewar, Bharatpur – 321 001 22/03/2012 ICAR",22/03/2012,
Rajasthan,34,"Vill. Mauza- Maulasar, Tehsil-Didwana, Distt. Nagaur","The Vice Chancellor, Swami Keshwanand Rajasthan Agricultural University, Bikaner -334 006",28/03/2012,
Rajasthan,35,"Vill. Kotputli, Distt. –Jaipur","The Vice Chancellor, Swami Keshwanand Rajasthan Agricultural University, Bikaner -334 006",28/03/2012,
Rajasthan,36,"Vill. Thirpali Choti, Chandgothi, Distt. Churu","The Vice Chancellor, Swami Keshwanand Rajasthan Agricultural University, Bikaner -334 006 37 Krishi Vigyan Kendra Village - Phaldi, Distt. – Jodhpur The Vice Chancellor, Swami Keshwanand Rajasthan Agricultural University, Bikaner-334 006 (Rajasthan) 29/03/2012 @ 38 Krishi Vigyan Kendra Village- Chak",28/03/2012,SAU
Rajasthan,43,"Mavli,Udsipur","Vice-Chancellor, Maharana Pratap University of Agriculture and Technology, Udaipur-313 001",2018,SAU
Rajasthan,44,"Shapura,Bhilwara","Vice-Chancellor, Maharana Pratap University of Agriculture and Technology, Udaipur-313 001",2018,SAU
Rajasthan,45,"Bamanwara,Jalore","Vice-Chancellor, Agriculture University,Jodhpur-342304",2021,SAU
Rajasthan,46,"Raipur,Pali","Vice-Chancellor, Agriculture University,Jodhpur-342304",2021,SAU
Rajasthan,47,"Arnia village,Sikar","Vice-Chancellor, Sri Karan Narendra Agriculture University,Jobner",2022,SAU
Uttar Pradesh,1,Distt. Ambedkar Nagar-,"Vice-Chancellor, Narendra Dev University of Agriculture and Technology, Kumarganj, Faizabad-224 229",2010,SAU
Uttar Pradesh,2,Distt. Sant Kabir Nagar,"Vice-Chancellor, Narendra Dev University of Agriculture and Technology, Kumarganj, Faizabad-224 229",2009,SAU
